dis_name,dis_symptoms,dis_precaution,kfold,encoded_dis_name
jaundice, itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain,"['drink plenty of water', 'consume milk thistle', 'eat fruits and high fiberous food', 'medication']",4.0,29
malaria,  chills  vomiting  high fever  sweating  headache  nausea  muscle pain,"['Consult nearest hospital', 'avoid oily food', 'avoid non veg food', 'keep mosquitos out']",2.0,30
chicken pox, itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body,"['use neem in bathing ', 'consume neem leaves', 'take vaccine', 'avoid public places']",1.0,8
dengue,  skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  muscle pain  red spots over body,"['drink papaya leaf juice', 'avoid fatty spicy food', 'keep mosquitos away', 'keep hydrated']",4.0,11
typhoid,  chills  vomiting  fatigue  high fever  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain,"['eat high calorie vegitables', 'antiboitic therapy', 'consult doctor', 'medication']",4.0,38
hepatitis a,  joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain,"['Consult nearest hospital', 'wash hands through', 'avoid fatty spicy food', 'medication']",4.0,19
hepatitis b, itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections,"['consult nearest hospital', 'vaccination', 'eat healthy', 'medication']",4.0,20
hepatitis c,  fatigue  yellowish skin  nausea  loss of appetite  family history,"['Consult nearest hospital', 'vaccination', 'eat healthy', 'medication']",1.0,21
hepatitis d,  joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes,"['consult doctor', 'medication', 'eat healthy', 'follow up']",4.0,22
hepatitis e,  joint pain  vomiting  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  coma  stomach bleeding,"['stop alcohol consumption', 'rest', 'consult doctor', 'medication']",3.0,23
alcoholic hepatitis,  vomiting  yellowish skin  abdominal pain  swelling of stomach  distention of abdomen  history of alcohol consumption  fluid overload,"['stop alcohol consumption', 'consult doctor', 'medication', 'follow up']",3.0,3
tuberculosis,  chills  vomiting  fatigue  weight loss  cough  high fever  breathlessness  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum,"['cover mouth', 'consult doctor', 'medication', 'rest']",4.0,37
common cold,  continuous sneezing  chills  fatigue  cough  high fever  headache  swelled lymph nodes  malaise  phlegm  throat irritation  redness of eyes  sinus pressure  runny nose  congestion  chest pain  loss of smell  muscle pain,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']",1.0,10
pneumonia,  chills  fatigue  cough  high fever  breathlessness  sweating  malaise  chest pain  fast heart rate  rusty sputum,"['consult doctor', 'medication', 'rest', 'follow up']",3.0,35
dimorphic hemmorhoids(piles),  constipation  pain during bowel movements  pain in anal region  bloody stool  irritation in anus,"['avoid fatty spicy food', 'consume witch hazel', 'warm bath with epsom salt', 'consume alovera juice']",4.0,13
heart attack,  vomiting  breathlessness  sweating  chest pain,"['call ambulance', 'chew or swallow asprin', 'keep calm', '']",1.0,18
varicose veins,  fatigue  cramps  bruising  obesity  swollen legs  swollen blood vessels  prominent veins on calf,"['lie down flat and raise the leg high', 'use oinments', 'use vein compression', 'dont stand still for long']",5.0,40
hypothyroidism,  fatigue  weight gain  cold hands and feets  mood swings  lethargy  dizziness  puffy face and eyes  enlarged thyroid  brittle nails  swollen extremeties  depression  irritability  abnormal menstruation,"['reduce stress', 'exercise', 'eat healthy', 'get proper sleep']",1.0,27
hyperthyroidism,  fatigue  mood swings  weight loss  restlessness  sweating  diarrhoea  fast heart rate  excessive hunger  muscle weakness  irritability  abnormal menstruation,"['eat healthy', 'massage', 'use lemon balm', 'take radioactive iodine treatment']",1.0,25
hypoglycemia,  vomiting  fatigue  anxiety  sweating  headache  nausea  blurred and distorted vision  excessive hunger  slurred speech  irritability  palpitations,"['lie down on side', 'check in pulse', 'drink sugary drinks', 'consult doctor']",3.0,26
osteoarthristis,  joint pain  neck pain  knee pain  hip joint pain  swelling joints  painful walking,"['acetaminophen', 'consult nearest hospital', 'follow up', 'salt baths']",4.0,32
arthritis,  muscle weakness  stiff neck  swelling joints  movement stiffness  painful walking,"['exercise', 'use hot and cold therapy', 'try acupuncture', 'massage']",3.0,5
(vertigo) paroymsal  positional vertigo,  vomiting  headache  nausea  spinning movements  loss of balance  unsteadiness,"['lie down', 'avoid sudden change in body', 'avoid abrupt head movment', 'relax']",5.0,0
acne,  skin rash  pus filled pimples  blackheads  scurring,"['bath twice', 'avoid fatty spicy food', 'drink plenty of water', 'avoid too many products']",5.0,1
urinary tract infection,  burning micturition  bladder discomfort  foul smell of urine  continuous feel of urine,"['drink plenty of water', 'increase vitamin c intake', 'drink cranberry juice', 'take probiotics']",1.0,39
psoriasis,  skin rash  joint pain  skin peeling  silver like dusting  small dents in nails  inflammatory nails,"['wash hands with warm soapy water', 'stop bleeding using pressure', 'consult doctor', 'salt baths']",1.0,36
impetigo,  skin rash  high fever  blister  red sore around nose  yellow crust ooze,"['soak affected area in warm water', 'use antibiotics', 'remove scabs with wet compressed cloth', 'consult doctor']",2.0,28
